row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,02-HLB_221116_neg_iaMSMS_04.mzML Peak area,01-HLB_221116_neg_iaMSMS_03.mzML Peak area,01-HLB_221116_neg_iaMSMS_04.mzML Peak area,01-HLB_221116_neg_iaMSMS_02.mzML Peak area,02-HLB_221116_neg_iaMSMS_03.mzML Peak area,02-HLB_221116_neg_iaMSMS_01.mzML Peak area,03-HLB_221116_neg_iaMSMS_04.mzML Peak area,01-HLB_221116_neg_iaMSMS_01.mzML Peak area,02-HLB_221116_neg_iaMSMS_02.mzML Peak area,03-HLB_221116_neg_iaMSMS_03.mzML Peak area,04-HLB_221116_neg_iaMSMS_04.mzML Peak area,04-HLB_221116_neg_iaMSMS_03.mzML Peak area,03-HLB_221116_neg_iaMSMS_01.mzML Peak area,04-HLB_221116_neg_iaMSMS_01.mzML Peak area,03-HLB_221116_neg_iaMSMS_02.mzML Peak area,05-HLB_221116_neg_iaMSMS_03.mzML Peak area,05-HLB_221116_neg_iaMSMS_04.mzML Peak area,06-HLB_221116_neg_iaMSMS_04.mzML Peak area,04-HLB_221116_neg_iaMSMS_02.mzML Peak area,06-HLB_221116_neg_iaMSMS_03.mzML Peak area,05-HLB_221116_neg_iaMSMS_02.mzML Peak area,05-HLB_221116_neg_iaMSMS_01.mzML Peak area,06-HLB_221116_neg_iaMSMS_02.mzML Peak area,07-HLB_221116_neg_iaMSMS_03.mzML Peak area,07-HLB_221116_neg_iaMSMS_04.mzML Peak area,06-HLB_221116_neg_iaMSMS_01.mzML Peak area,07-HLB_221116_neg_iaMSMS_01.mzML Peak area,08-HLB_221116_neg_iaMSMS_04.mzML Peak area,08-HLB_221116_neg_iaMSMS_03.mzML Peak area,07-HLB_221116_neg_iaMSMS_02.mzML Peak area,09-HLB_221116_neg_iaMSMS_04.mzML Peak area,09-HLB_221116_neg_iaMSMS_03.mzML Peak area,08-HLB_221116_neg_iaMSMS_01.mzML Peak area,08-HLB_221116_neg_iaMSMS_02.mzML Peak area,11-HLB_221116_neg_iaMSMS_03.mzML Peak area,11-HLB_221116_neg_iaMSMS_04.mzML Peak area,09-HLB_221116_neg_iaMSMS_02.mzML Peak area,09-HLB_221116_neg_iaMSMS_01.mzML Peak area,10-HLB_221116_neg_iaMSMS_03.mzML Peak area,11-HLB_221116_neg_iaMSMS_01.mzML Peak area,10-HLB_221116_neg_iaMSMS_04.mzML Peak area,12-HLB_221116_neg_iaMSMS_03.mzML Peak area,10-HLB_221116_neg_iaMSMS_01.mzML Peak area,10-HLB_221116_neg_iaMSMS_02.mzML Peak area,11-HLB_221116_neg_iaMSMS_02.mzML Peak area,13-HLB_221116_neg_iaMSMS_03.mzML Peak area,12-HLB_221116_neg_iaMSMS_04.mzML Peak area,13-HLB_221116_neg_iaMSMS_04.mzML Peak area,15-HLB_221116_neg_iaMSMS_04.mzML Peak area,12-HLB_221116_neg_iaMSMS_01.mzML Peak area,14-HLB_221116_neg_iaMSMS_r04.mzML Peak area,13-HLB_221116_neg_iaMSMS_01.mzML Peak area,15-HLB_221116_neg_iaMSMS_03.mzML Peak area,15-HLB_221116_neg_iaMSMS_01.mzML Peak area,13-HLB_221116_neg_iaMSMS_02.mzML Peak area,14-HLB_221116_neg_iaMSMS_r03.mzML Peak area,12-HLB_221116_neg_iaMSMS_02.mzML Peak area,16-HLB_221116_neg_iaMSMS_04.mzML Peak area,15-HLB_221116_neg_iaMSMS_02.mzML Peak area,16-HLB_221116_neg_iaMSMS_03.mzML Peak area,17-HLB_221116_neg_iaMSMS_03.mzML Peak area,17-HLB_221116_neg_iaMSMS_04.mzML Peak area,14-HLB_221116_neg_iaMSMS_r02.mzML Peak area,18-HLB_221116_neg_iaMSMS_04.mzML Peak area,14-HLB_221116_neg_iaMSMS_r01.mzML Peak area,16-HLB_221116_neg_iaMSMS_01.mzML Peak area,19-HLB_221116_neg_iaMSMS_04.mzML Peak area,20-HLB_221116_neg_iaMSMS_04.mzML Peak area,16-HLB_221116_neg_iaMSMS_02.mzML Peak area,20-HLB_221116_neg_iaMSMS_03.mzML Peak area,17-HLB_221116_neg_iaMSMS_02.mzML Peak area,19-HLB_221116_neg_iaMSMS_03.mzML Peak area,20-HLB_221116_neg_iaMSMS_02.mzML Peak area,20-HLB_221116_neg_iaMSMS_01.mzML Peak area,19-HLB_221116_neg_iaMSMS_01.mzML Peak area,19-HLB_221116_neg_iaMSMS_02.mzML Peak area,
42809,100.9337892185625,20.671011,,,,,,,,,,,114806.66,102744.15,85170.14,108904.45,110547.484,120636.62,106308.164,116191.61,123469.67,99934.36,95016.36,98800.07,119444.75,114493.45,109037.56,105755.4,100922.49,109235.055,115509.85,113710.81,107859.125,113934.016,119242.78,106044.74,112112.44,113834.766,115931.984,120235.5,112493.1,121450.33,93468.75,104390.39,828148.0,824020.7,117952.734,122989.53,113144.72,120989.6,104583.6,121085.61,108355.98,124824.88,108349.336,116200.59,113553.73,112134.84,123860.35,103168.58,118684.75,132918.27,88975.11,122399.4,120078.98,497097.38,113480.18,77691.516,830684.25,99379.625,121699.01,105831.555,115878.53,133543.12,80279.66,105961.14,73863.586,119943.375,128415.39,134429.27,116680.72,124668.66,695597.56,117635.83,762195.5,767992.56,761323.5,773308.9,
44117,100.93379511421617,21.731247,,,,,,,,,,,157545.52,168829.69,177942.97,188603.94,143524.56,156292.1,163257.23,175243.4,142218.72,160636.22,156443.31,143499.33,163654.05,153336.5,166359.44,133818.83,148743.14,154403.7,151724.58,138609.19,154380.77,147418.31,160744.06,152520.94,146959.31,157513.72,157408.78,133970.25,131517.4,150395.92,153268.17,157984.62,159902.88,164699.27,155894.64,168098.55,166626.11,155601.9,174732.69,164875.6,173361.61,151105.44,181227.45,1485683.5,171229.5,161373.23,164527.28,160277.5,176919.06,175305.36,147939.6,160393.17,189447.86,196595.62,166108.39,169068.62,161509.81,206489.39,184848.56,173483.08,184215.38,193075.7,173108.14,198120.56,176870.92,202909.9,179574.52,1038590.5,202386.56,1053662.2,1145380.5,148805.3,1049386.8,1037720.3,181945.22,171604.27,
42785,101.93434727841516,20.671045,,,,,,,,,,,13093.109,12009.9,12055.963,12719.954,12886.086,14058.76,12587.773,14021.861,14349.553,13455.328,11358.75,11620.329,14068.645,13423.966,13072.941,12900.743,12228.112,13163.123,13576.805,11632.728,13955.452,13597.32,14377.789,12393.984,100234.38,13511.909,13704.084,107427.03,13246.061,14350.975,13040.259,12072.121,102037.68,108299.6,14123.466,14556.965,13131.447,14048.018,12331.512,14255.249,12828.834,109287.17,12866.27,13515.325,98408.45,13192.47,100769.83,100448.27,71319.73,100487.75,8343.605,104167.945,69300.93,61866.074,106193.15,9290.532,107975.04,11899.482,65158.19,12479.786,89611.42,89481.27,9717.47,12633.923,9156.85,14603.3545,15064.986,103449.01,15049.843,96731.0,92491.46,101661.23,96980.125,47141.74,93032.4,95554.18,
42818,102.93858414668617,20.671951,,,,,,,,,,,5988.5107,3717.7368,3267.005,3900.7415,4130.299,8052.664,4149.301,4344.617,4589.0503,3871.8403,3724.3936,3739.7346,4385.082,4397.2295,4136.7583,4304.2007,3812.6313,4166.7686,4530.3374,4398.88,4030.5625,4344.3794,4275.267,4118.162,4305.803,4264.6133,4500.283,8276.394,5575.7305,4711.886,8886.878,3834.4229,4651.181,13452.777,4419.753,4458.4604,5612.2246,4556.2744,4312.613,4576.5923,4254.4556,4751.607,4080.791,3855.324,9565.063,7420.135,4109.569,4028.496,4495.6406,5052.129,3694.783,4649.786,4709.3735,4272.8223,4232.4136,3234.4314,4923.278,4045.8586,4730.926,4100.99,4345.9014,4923.2446,3268.4805,5005.7383,1929.0195,4137.2236,15230.78,5440.245,4439.675,4615.952,5265.645,4526.7534,5500.8057,5838.8394,4728.994,4704.4766,
2070,102.94890208514762,5.395302,,,,,,,,,,,2387.4639,1329.2437,1266.2993,1430.1927,5621.724,1411.672,1603.5326,1395.9132,1418.6372,1585.7068,1744.6768,1714.4594,1355.6915,1834.5703,1448.1716,1735.167,1823.3768,3148.3489,1595.5612,1954.1033,3833.8748,1950.0681,2904.7866,1938.0392,2231.7268,2082.038,2049.7917,1923.4082,1895.9015,4319.163,1957.823,1737.5236,1902.5325,1985.7532,3735.707,1877.2712,2065.2544,2252.3604,1719.345,3681.5974,1668.3391,1824.7527,1846.9048,1810.7263,3311.7996,1431.7853,1770.8103,1471.8628,539.9951,1925.6771,1564.3308,1508.5248,687.07855,198.89557,1728.3052,1662.1147,1762.551,5319.355,934.0647,5133.6694,4472.0386,4042.2021,1787.6141,5106.761,1695.506,4340.305,1801.9413,4639.705,5475.3633,3646.4265,4661.8296,1551.7484,1621.3501,3208.5938,1727.3143,1786.8098,
37721,102.95431255732584,18.115288,,,,,,,,,,,10402.745,3043.2964,12051.653,6502.9443,7592.8257,6626.1494,13121.14,5666.6177,10536.593,9636.676,9328.293,4931.1606,6505.1675,4337.4556,4137.178,9514.998,14699.094,9338.889,6985.5835,3129.8271,4025.7068,8966.727,4935.3022,10416.563,10919.087,7347.2847,5774.609,7270.606,2573.3286,3646.4873,6229.1045,6395.791,2837.6975,5888.0884,1147.6569,1261.6818,5955.908,6880.2427,4631.693,1485.0016,14604.801,4257.9116,10942.269,6933.2354,1115.8866,11098.462,12141.685,9566.709,1312.9164,4729.494,3080.6152,5979.6445,1053.779,231.6839,2533.1213,3344.7,7677.962,0,641.4221,675.00507,701.9834,757.4071,2952.6257,1089.0924,2388.031,738.55884,3629.0605,804.45264,736.59906,1166.6711,448.99988,6669.4487,1202.2305,679.9091,5310.0107,3761.1624,
33486,103.03871500416224,16.33978,,,,,,,,,,,367.82452,509.75775,484.13116,475.12927,386.68152,304.40112,492.67126,491.906,311.72626,454.3756,327.81174,270.13797,561.0594,268.28702,517.76013,166.45517,1039.0209,1201.0931,361.6442,1164.9816,1087.4495,1017.0316,1145.6106,837.19604,980.53156,1184.42,912.4073,350.66864,423.17932,920.2655,533.79645,537.9995,348.95316,358.36652,0,0,513.0338,529.1666,763.87665,0,885.3417,946.2989,894.18536,861.14105,30.273798,655.7477,915.75684,577.6374,0,1025.3022,562.2408,514.0808,0,19.606396,484.6394,529.0303,1023.63306,24.11878,0,124.136375,37.858078,0,530.05023,0,471.70648,19.849632,736.63434,29.876019,14.364138,37.508877,12.896542,838.5555,22.603333,24.9029,773.5686,746.82153,
24251,103.0390310907289,12.967788,,,,,,,,,,,338.77396,256.40326,125.862564,158.31107,192.6619,283.63602,684.42883,143.56479,192.79214,596.7543,604.1459,524.80444,507.11813,487.5288,616.2086,286.18835,419.4344,329.71002,300.60532,341.89725,531.3622,560.1246,676.4247,1175.3676,1266.916,761.6303,1363.4678,294.28986,696.2601,1359.9713,206.83025,315.65686,424.37415,684.38495,1009.34674,974.9798,188.8152,469.7937,438.49814,682.09155,480.65985,1405.2075,799.51135,834.5129,605.25323,637.55707,1427.8474,623.36255,41.599674,1446.2073,668.6089,795.5331,53.143852,18.330492,565.4212,1061.5363,847.82074,1362.613,10.715528,1423.909,1089.9685,1128.6077,955.01514,1491.9417,974.1718,1376.7402,199.64209,75.00149,1273.0491,128.45709,1063.6447,271.5357,130.17366,74.61662,239.6728,227.16824,
7265,103.0391138875169,8.115506,,,,,,,,,,,233.70016,219.48767,424.77957,222.02162,187.79929,207.26715,477.96835,206.55994,214.56679,543.1637,287.00357,272.6799,562.80554,218.99857,548.339,964.318,828.07227,488.60925,199.64157,457.7378,925.4648,909.7988,439.6093,898.29926,888.7429,355.40793,871.1622,453.81473,380.24246,816.1389,305.22977,373.60733,314.60794,356.1458,163.30226,195.49207,335.74042,281.422,988.97784,202.88608,1102.1261,4178.25,942.1496,1063.1814,123.96595,568.4434,4399.0405,570.23645,19.474276,4081.2898,1613.978,612.802,43.122284,22.416046,572.6697,1399.0399,4050.0437,221.17526,11.714443,212.77405,165.62709,221.09703,1394.1099,298.3999,1400.048,211.4608,1202.5227,286.3187,236.9557,333.19928,196.32237,1265.7363,344.13852,268.909,1094.0588,1207.6069,
9170,103.03952466608874,8.586637,,,,,,,,,,,313.01373,336.1135,320.8884,219.37155,264.5527,293.45618,492.77484,292.51276,239.67151,495.71585,452.67078,520.2408,438.36664,463.03708,413.3792,625.6517,752.3021,708.4948,490.86395,615.54224,663.89966,654.0495,645.96356,1091.2661,1114.357,628.69904,1184.1508,751.54846,716.6308,1087.759,477.99518,515.9757,741.4597,673.6654,752.61163,675.47296,561.3421,455.60608,855.54034,749.9093,733.10535,1494.9106,843.8624,848.59766,758.6142,459.57748,1540.5145,477.75357,37.419228,1559.3352,1041.2535,453.42838,0,23.310818,460.65482,1065.86,1426.2439,1679.8917,17.85951,1418.5635,802.2511,924.90247,949.87555,1512.1183,1002.91986,1177.9547,1093.6982,1492.1616,1337.253,1313.7344,773.29816,897.144,1407.234,1166.8822,797.15466,758.31793,
