filename	samplename	ATTRIBUTE_shorthand
01-HLB_221116_pos_iaMSMS_01.mzML	mxaF LCC 2uM Nd2O3 #1 	KO
01-HLB_221116_pos_iaMSMS_02.mzML	mxaF LCC 2uM Nd2O3 #1 	KO
01-HLB_221116_pos_iaMSMS_03.mzML	mxaF LCC 2uM Nd2O3 #1 	KO
01-HLB_221116_pos_iaMSMS_04.mzML	mxaF LCC 2uM Nd2O3 #1 	KO
02-HLB_221116_pos_iaMSMS_01.mzML	mxaF 50nM Nd2O3 #1	WT_limited
02-HLB_221116_pos_iaMSMS_02.mzML	mxaF 50nM Nd2O3 #1	WT_limited
02-HLB_221116_pos_iaMSMS_03.mzML	mxaF 50nM Nd2O3 #1	WT_limited
02-HLB_221116_pos_iaMSMS_04.mzML	mxaF 50nM Nd2O3 #1	WT_limited
03-HLB_221116_pos_iaMSMS_01.mzML	mxaF LCC 2uM Nd2O3 #2	KO
03-HLB_221116_pos_iaMSMS_02.mzML	mxaF LCC 2uM Nd2O3 #2	KO
03-HLB_221116_pos_iaMSMS_03.mzML	mxaF LCC 2uM Nd2O3 #2	KO
03-HLB_221116_pos_iaMSMS_04.mzML	mxaF LCC 2uM Nd2O3 #2	KO
04-HLB_221116_pos_iaMSMS_01.mzML	mxaF 2uM Nd2O3 #1	WT
04-HLB_221116_pos_iaMSMS_02.mzML	mxaF 2uM Nd2O3 #1	WT
04-HLB_221116_pos_iaMSMS_03.mzML	mxaF 2uM Nd2O3 #1	WT
04-HLB_221116_pos_iaMSMS_04.mzML	mxaF 2uM Nd2O3 #1	WT
05-HLB_221116_pos_iaMSMS_01.mzML	mxaF LCC 2uM Nd2O3 #4	KO
05-HLB_221116_pos_iaMSMS_02.mzML	mxaF LCC 2uM Nd2O3 #4	KO
05-HLB_221116_pos_iaMSMS_03.mzML	mxaF LCC 2uM Nd2O3 #4	KO
05-HLB_221116_pos_iaMSMS_04.mzML	mxaF LCC 2uM Nd2O3 #4	KO
06-HLB_221116_pos_iaMSMS_01.mzML	mxaF 2uM Nd2O3 #4 	WT
06-HLB_221116_pos_iaMSMS_02.mzML	mxaF 2uM Nd2O3 #4 	WT
06-HLB_221116_pos_iaMSMS_03.mzML	mxaF 2uM Nd2O3 #4 	WT
06-HLB_221116_pos_iaMSMS_04.mzML	mxaF 2uM Nd2O3 #4 	WT
07-HLB_221116_pos_iaMSMS_01.mzML	mxaF 2uM Nd2O3 #2 	WT
07-HLB_221116_pos_iaMSMS_02.mzML	mxaF 2uM Nd2O3 #2 	WT
07-HLB_221116_pos_iaMSMS_03.mzML	mxaF 2uM Nd2O3 #2	WT
07-HLB_221116_pos_iaMSMS_04.mzML	mxaF 2uM Nd2O3 #2	WT
08-HLB_221116_pos_iaMSMS_01.mzML	mxaF 2uM Nd2O3 #5	WT
08-HLB_221116_pos_iaMSMS_02.mzML	mxaF 2uM Nd2O3 #5	WT
08-HLB_221116_pos_iaMSMS_03.mzML	mxaF 2uM Nd2O3 #5	WT
08-HLB_221116_pos_iaMSMS_04.mzML	mxaF 2uM Nd2O3 #5	WT
09-HLB_221116_pos_iaMSMS_01.mzML	mxaF 2uM Nd2O3 #3	WT
09-HLB_221116_pos_iaMSMS_02.mzML	mxaF 2uM Nd2O3 #3	WT
09-HLB_221116_pos_iaMSMS_03.mzML	mxaF 2uM Nd2O3 #3	WT
09-HLB_221116_pos_iaMSMS_04.mzML	mxaF 2uM Nd2O3 #3	WT
10-HLB_221116_pos_iaMSMS_01.mzML	mxaF LCC 2uM Nd2O3 #5	KO
10-HLB_221116_pos_iaMSMS_02.mzML	mxaF LCC 2uM Nd2O3 #5	KO
10-HLB_221116_pos_iaMSMS_03.mzML	mxaF LCC 2uM Nd2O3 #5	KO
10-HLB_221116_pos_iaMSMS_04.mzML	mxaF LCC 2uM Nd2O3 #5	KO
11-HLB_221116_pos_iaMSMS_01.mzML	A7 2uM Nd2O3 #4 	overexpression
11-HLB_221116_pos_iaMSMS_02.mzML	A7 2uM Nd2O3 #4 	overexpression
11-HLB_221116_pos_iaMSMS_03.mzML	A7 2uM Nd2O3 #4	overexpression
11-HLB_221116_pos_iaMSMS_04.mzML	A7 2uM Nd2O3 #4	overexpression
12-HLB_221116_pos_iaMSMS_01.mzML	mxaF LCC 2uM Nd2O3 #3	KO
12-HLB_221116_pos_iaMSMS_02.mzML	mxaF LCC 2uM Nd2O3 #3	KO
12-HLB_221116_pos_iaMSMS_03.mzML	mxaF LCC 2uM Nd2O3 #3	KO
12-HLB_221116_pos_iaMSMS_04.mzML	mxaF LCC 2uM Nd2O3 #3	KO
13-HLB_221116_pos_iaMSMS_01.mzML	mxaF 50nM Nd2O3 #3	WT_limited
13-HLB_221116_pos_iaMSMS_02.mzML	mxaF 50nM Nd2O3 #3	WT_limited
13-HLB_221116_pos_iaMSMS_03.mzML	mxaF 50nM Nd2O3 #3	WT_limited
13-HLB_221116_pos_iaMSMS_04.mzML	mxaF 50nM Nd2O3 #3	WT_limited
14-HLB_221116_pos_iaMSMS_01.mzML	mxaF 50nM Nd2O3 #5	WT_limited
14-HLB_221116_pos_iaMSMS_02.mzML	mxaF 50nM Nd2O3 #5	WT_limited
14-HLB_221116_pos_iaMSMS_03.mzML	mxaF 50nM Nd2O3 #5	WT_limited
14-HLB_221116_pos_iaMSMS_04.mzML	mxaF 50nM Nd2O3 #5	WT_limited
15-HLB_221116_pos_iaMSMS_01.mzML	media_blank	media
15-HLB_221116_pos_iaMSMS_02.mzML	media_blank	media
15-HLB_221116_pos_iaMSMS_03.mzML	media_blank	media
