"","01-HLB_221116_neg_iaMSMS_02.mzML","01-HLB_221116_neg_iaMSMS_03.mzML","01-HLB_221116_neg_iaMSMS_04.mzML","02-HLB_221116_neg_iaMSMS_01.mzML","02-HLB_221116_neg_iaMSMS_02.mzML","02-HLB_221116_neg_iaMSMS_03.mzML","02-HLB_221116_neg_iaMSMS_04.mzML","03-HLB_221116_neg_iaMSMS_01.mzML","03-HLB_221116_neg_iaMSMS_02.mzML","03-HLB_221116_neg_iaMSMS_03.mzML","03-HLB_221116_neg_iaMSMS_04.mzML","04-HLB_221116_neg_iaMSMS_01.mzML","04-HLB_221116_neg_iaMSMS_02.mzML","04-HLB_221116_neg_iaMSMS_03.mzML","04-HLB_221116_neg_iaMSMS_04.mzML","05-HLB_221116_neg_iaMSMS_01.mzML","05-HLB_221116_neg_iaMSMS_02.mzML","05-HLB_221116_neg_iaMSMS_03.mzML","05-HLB_221116_neg_iaMSMS_04.mzML","06-HLB_221116_neg_iaMSMS_01.mzML","06-HLB_221116_neg_iaMSMS_02.mzML","06-HLB_221116_neg_iaMSMS_03.mzML","06-HLB_221116_neg_iaMSMS_04.mzML","07-HLB_221116_neg_iaMSMS_01.mzML","07-HLB_221116_neg_iaMSMS_02.mzML","07-HLB_221116_neg_iaMSMS_03.mzML","07-HLB_221116_neg_iaMSMS_04.mzML","08-HLB_221116_neg_iaMSMS_01.mzML","08-HLB_221116_neg_iaMSMS_02.mzML","08-HLB_221116_neg_iaMSMS_03.mzML","08-HLB_221116_neg_iaMSMS_04.mzML","09-HLB_221116_neg_iaMSMS_01.mzML","09-HLB_221116_neg_iaMSMS_02.mzML","09-HLB_221116_neg_iaMSMS_03.mzML","09-HLB_221116_neg_iaMSMS_04.mzML","10-HLB_221116_neg_iaMSMS_01.mzML","10-HLB_221116_neg_iaMSMS_02.mzML","10-HLB_221116_neg_iaMSMS_03.mzML","10-HLB_221116_neg_iaMSMS_04.mzML","11-HLB_221116_neg_iaMSMS_01.mzML","11-HLB_221116_neg_iaMSMS_02.mzML","11-HLB_221116_neg_iaMSMS_03.mzML","11-HLB_221116_neg_iaMSMS_04.mzML","12-HLB_221116_neg_iaMSMS_01.mzML","12-HLB_221116_neg_iaMSMS_02.mzML","12-HLB_221116_neg_iaMSMS_03.mzML","12-HLB_221116_neg_iaMSMS_04.mzML","13-HLB_221116_neg_iaMSMS_01.mzML","13-HLB_221116_neg_iaMSMS_02.mzML","13-HLB_221116_neg_iaMSMS_03.mzML","13-HLB_221116_neg_iaMSMS_04.mzML","14-HLB_221116_neg_iaMSMS_r01.mzML","14-HLB_221116_neg_iaMSMS_r02.mzML","14-HLB_221116_neg_iaMSMS_r03.mzML","14-HLB_221116_neg_iaMSMS_r04.mzML","16-HLB_221116_neg_iaMSMS_01.mzML","16-HLB_221116_neg_iaMSMS_02.mzML","16-HLB_221116_neg_iaMSMS_03.mzML","16-HLB_221116_neg_iaMSMS_04.mzML","17-HLB_221116_neg_iaMSMS_02.mzML","17-HLB_221116_neg_iaMSMS_03.mzML","17-HLB_221116_neg_iaMSMS_04.mzML","18-HLB_221116_neg_iaMSMS_04.mzML","19-HLB_221116_neg_iaMSMS_01.mzML","19-HLB_221116_neg_iaMSMS_02.mzML","19-HLB_221116_neg_iaMSMS_03.mzML","19-HLB_221116_neg_iaMSMS_04.mzML","20-HLB_221116_neg_iaMSMS_01.mzML","20-HLB_221116_neg_iaMSMS_02.mzML","20-HLB_221116_neg_iaMSMS_03.mzML","20-HLB_221116_neg_iaMSMS_04.mzML"
"2070_102.949_5.395",1430.1927,1329.2437,1266.2993,1411.672,1418.6372,5621.724,2387.4639,1355.6915,1448.1716,1585.7068,1603.5326,1834.5703,1595.5612,1714.4594,1744.6768,1950.0681,3833.8748,1735.167,1823.3768,2082.038,2904.7866,1954.1033,3148.3489,2049.7917,4319.163,1938.0392,2231.7268,1902.5325,1985.7532,1895.9015,1923.4082,2252.3604,2065.2544,1737.5236,1957.823,1846.9048,1810.7263,1719.345,1668.3391,3681.5974,3311.7996,3735.707,1877.2712,1925.6771,1762.551,1824.7527,1770.8103,1508.5248,1728.3052,1431.7853,1471.8628,1695.506,1787.6141,1662.1147,1564.3308,4340.305,5475.3633,5133.6694,5319.355,4661.8296,4472.0386,4042.2021,5106.761,1727.3143,1786.8098,1551.7484,1801.9413,3208.5938,1621.3501,3646.4265,4639.705
"37721_102.954_18.115",6502.9443,3043.2964,12051.653,6626.1494,10536.593,7592.8257,10402.745,6505.1675,4137.178,9636.676,13121.14,4337.4556,6985.5835,4931.1606,9328.293,8966.727,4025.7068,9514.998,14699.094,7347.2847,4935.3022,3129.8271,9338.889,5774.609,3646.4873,10416.563,10919.087,2837.6975,5888.0884,2573.3286,7270.606,6880.2427,5955.908,6395.791,6229.1045,10942.269,6933.2354,4631.693,14604.801,1485.0016,1115.8866,1147.6569,1261.6818,4729.494,7677.962,4257.9116,12141.685,5979.6445,2533.1213,11098.462,9566.709,2388.031,2952.6257,3344.7,3080.6152,738.55884,736.59906,675.00507,0,448.99988,701.9834,757.4071,1089.0924,5310.0107,3761.1624,6669.4487,3629.0605,679.9091,1202.2305,1166.6711,804.45264
"33486_103.039_16.34",475.12927,509.75775,484.13116,304.40112,311.72626,386.68152,367.82452,561.0594,517.76013,454.3756,492.67126,268.28702,361.6442,270.13797,327.81174,1017.0316,1087.4495,166.45517,1039.0209,1184.42,1145.6106,1164.9816,1201.0931,912.4073,920.2655,837.19604,980.53156,348.95316,358.36652,423.17932,350.66864,529.1666,513.0338,537.9995,533.79645,894.18536,861.14105,763.87665,885.3417,0,30.273798,0,0,1025.3022,1023.63306,946.2989,915.75684,514.0808,484.6394,655.7477,577.6374,471.70648,530.05023,529.0303,562.2408,19.849632,14.364138,124.136375,24.11878,12.896542,37.858078,0,0,773.5686,746.82153,838.5555,736.63434,24.9029,22.603333,37.508877,29.876019
"24251_103.039_12.968",158.31107,256.40326,125.862564,283.63602,192.79214,192.6619,338.77396,507.11813,616.2086,596.7543,684.42883,487.5288,300.60532,524.80444,604.1459,560.1246,531.3622,286.18835,419.4344,761.6303,676.4247,341.89725,329.71002,1363.4678,1359.9713,1175.3676,1266.916,424.37415,684.38495,696.2601,294.28986,469.7937,188.8152,315.65686,206.83025,799.51135,834.5129,438.49814,480.65985,682.09155,605.25323,1009.34674,974.9798,1446.2073,847.82074,1405.2075,1427.8474,795.5331,565.4212,637.55707,623.36255,974.1718,955.01514,1061.5363,668.6089,1376.7402,1273.0491,1423.909,1362.613,1063.6447,1089.9685,1128.6077,1491.9417,239.6728,227.16824,271.5357,199.64209,74.61662,130.17366,128.45709,75.00149
"7265_103.039_8.116",222.02162,219.48767,424.77957,207.26715,214.56679,187.79929,233.70016,562.80554,548.339,543.1637,477.96835,218.99857,199.64157,272.6799,287.00357,909.7988,925.4648,964.318,828.07227,355.40793,439.6093,457.7378,488.60925,871.1622,816.1389,898.29926,888.7429,314.60794,356.1458,380.24246,453.81473,281.422,335.74042,373.60733,305.22977,942.1496,1063.1814,988.97784,1102.1261,202.88608,123.96595,163.30226,195.49207,4081.2898,4050.0437,4178.25,4399.0405,612.802,572.6697,568.4434,570.23645,1400.048,1394.1099,1399.0399,1613.978,211.4608,236.9557,212.77405,221.17526,196.32237,165.62709,221.09703,298.3999,1094.0588,1207.6069,1265.7363,1202.5227,268.909,344.13852,333.19928,286.3187
"9170_103.04_8.587",219.37155,336.1135,320.8884,293.45618,239.67151,264.5527,313.01373,438.36664,413.3792,495.71585,492.77484,463.03708,490.86395,520.2408,452.67078,654.0495,663.89966,625.6517,752.3021,628.69904,645.96356,615.54224,708.4948,1184.1508,1087.759,1091.2661,1114.357,741.4597,673.6654,716.6308,751.54846,455.60608,561.3421,515.9757,477.99518,843.8624,848.59766,855.54034,733.10535,749.9093,758.6142,752.61163,675.47296,1559.3352,1426.2439,1494.9106,1540.5145,453.42838,460.65482,459.57748,477.75357,1002.91986,949.87555,1065.86,1041.2535,1177.9547,1337.253,1418.5635,1679.8917,773.29816,802.2511,924.90247,1512.1183,797.15466,758.31793,897.144,1093.6982,1166.8822,1407.234,1313.7344,1492.1616
"16136_103.04_10.105",381.3388,458.20312,385.30786,519.7881,533.62103,582.04425,425.07315,699.9813,817.101,912.392,918.1472,547.73145,609.8129,635.2341,615.51117,1148.2284,1103.6139,1071.6656,1027.4783,686.6927,821.0001,937.36554,896.50183,1594.3896,1579.1118,1514.9382,1643.5753,761.89197,1054.8932,845.71936,863.0819,650.0803,602.3504,773.0485,564.3414,1216.5812,1024.6279,1185.8358,1044.135,1213.5935,1228.6284,1194.2133,1298.2502,3094.3643,3011.3733,3058.3552,3308.055,936.7181,937.61975,1259.3776,903.8247,1481.2457,1681.0983,1651.4556,1501.6853,2521.9822,2346.0288,2361.9685,2329.538,1657.226,1620.1627,1651.6797,2175.937,1291.3171,1387.8424,1502.7141,1426.6099,2338.4631,2215.6672,2086.4766,2186.1523
"20782_103.04_11.89",519.8072,328.4372,559.005,419.39612,763.81024,750.7009,719.16473,1201.2595,1150.9381,1256.7004,1223.5696,1069.032,1269.323,1030.4896,969.166,1187.0868,1229.7972,1216.6252,1341.3768,1422.0212,1428.865,1442.0486,1413.3107,2773.8384,2905.6833,2834.6868,2788.6414,1443.2008,1459.5669,1608.0992,1278.7893,1024.4138,1109.7898,1187.3635,578.73193,1694.4479,1643.4677,1758.1122,1660.376,2015.1057,2085.5696,2040.9083,1842.9346,3434.3108,3466.8252,3414.8247,3362.2844,1636.836,1763.0479,1820.2917,1687.5171,2192.904,2291.469,2226.749,1245.1005,3363.2214,3343.1748,3325.1638,3295.1782,2350.0322,2405.651,2243.6997,3542.6162,1222.7809,1249.9741,1403.6265,1191.787,248.78578,208.27519,150.50134,86.89084
"4237_103.04_7.061",403.80963,382.46753,466.67343,612.7452,562.25024,769.99396,578.4404,830.22437,958.4321,1025.43,998.7541,920.72205,873.1404,818.48175,903.8781,757.511,760.5215,801.9582,753.96277,725.40564,658.3675,755.6779,707.46814,888.32184,851.1235,821.2924,869.8,776.4604,785.62695,850.96356,760.5152,607.7956,640.5948,824.995,664.8552,1235.1403,1091.9991,1137.7618,1084.8772,3321.522,3176.9688,3334.498,3235.0508,2809.011,2755.8857,2858.1023,2796.7292,956.17535,921.2784,793.60254,910.6131,1496.6531,1558.7051,1519.6283,1518.249,10161.203,10053.448,10380.707,10425.167,6279.156,6537.1064,6457.712,4900.03,1801.8046,1639.1141,1708.0356,1476.1779,4095.722,4031.2512,3809.4412,4535.233
"10801_103.04_9.089",37480.05,37406.273,37359.758,40021.973,39547.195,41199.953,41050.25,73587.29,73628.42,74768.52,76347.195,57551.492,57394.605,58668.867,53952.02,89260.47,89151.45,91364.984,86666.266,66133.64,66262.96,67445.97,67651.664,115787.71,114675.28,118907.5,107214.56,73510.836,75310.66,69990.43,69501.17,53888.348,53533.863,54549.984,55319.746,96365.914,95557.51,98085.85,90387.13,111145.61,111397.25,114788.34,117957.72,185129.23,182871.89,193268.89,173206.89,80062.26,80551.15,82540.72,82894.09,128165.71,130941.5,123504.7,134658.8,201237.7,196062.84,205872.45,210696.73,134801.25,135809.64,138095.08,206198.12,123411.43,123773.03,116374.13,127800.97,167464.62,163665.39,168986.78,167029.14
