group,filename,sample_id,norm_peak_area
A7,11-HLB_221116_neg_iaMSMS_01.mzML,A7_2uM_Nd2O3_#4,4.28E-03
A7,11-HLB_221116_neg_iaMSMS_02.mzML,A7_2uM_Nd2O3_#4,4.30E-03
A7,11-HLB_221116_neg_iaMSMS_03.mzML,A7_2uM_Nd2O3_#4,4.35E-03
A7,11-HLB_221116_neg_iaMSMS_04.mzML,A7_2uM_Nd2O3_#4,4.54E-03
A7,16-HLB_221116_neg_iaMSMS_01.mzML,A7_2uM_Nd2O3_#1,2.65E-03
A7,16-HLB_221116_neg_iaMSMS_02.mzML,A7_2uM_Nd2O3_#1,2.73E-03
A7,16-HLB_221116_neg_iaMSMS_03.mzML,A7_2uM_Nd2O3_#1,2.88E-03
A7,16-HLB_221116_neg_iaMSMS_04.mzML,A7_2uM_Nd2O3_#1,2.78E-03
A7,17-HLB_221116_neg_iaMSMS_02.mzML,A7_2uM_Nd2O3_#5,4.70E-03
A7,17-HLB_221116_neg_iaMSMS_03.mzML,A7_2uM_Nd2O3_#5,5.08E-03
A7,17-HLB_221116_neg_iaMSMS_04.mzML,A7_2uM_Nd2O3_#5,5.08E-03
A7,18-HLB_221116_neg_iaMSMS_04.mzML,A7_2uM_Nd2O3_#3,5.28E-03
A7,20-HLB_221116_neg_iaMSMS_01.mzML,A7_2uM_Nd2O3_#2,2.03E-03
A7,20-HLB_221116_neg_iaMSMS_02.mzML,A7_2uM_Nd2O3_#2,1.94E-03
A7,20-HLB_221116_neg_iaMSMS_03.mzML,A7_2uM_Nd2O3_#2,1.97E-03
A7,20-HLB_221116_neg_iaMSMS_04.mzML,A7_2uM_Nd2O3_#2,1.99E-03
KO,01-HLB_221116_neg_iaMSMS_02.mzML,mxaF_LCC_2uM_Nd2O3_#1,4.88E-07
KO,01-HLB_221116_neg_iaMSMS_03.mzML,mxaF_LCC_2uM_Nd2O3_#1,4.48E-07
KO,01-HLB_221116_neg_iaMSMS_04.mzML,mxaF_LCC_2uM_Nd2O3_#1,4.62E-07
KO,03-HLB_221116_neg_iaMSMS_01.mzML,mxaF_LCC_2uM_Nd2O3_#2,6.64E-07
KO,03-HLB_221116_neg_iaMSMS_02.mzML,mxaF_LCC_2uM_Nd2O3_#2,3.04E-07
KO,03-HLB_221116_neg_iaMSMS_03.mzML,mxaF_LCC_2uM_Nd2O3_#2,2.98E-07
KO,03-HLB_221116_neg_iaMSMS_04.mzML,mxaF_LCC_2uM_Nd2O3_#2,2.97E-07
KO,05-HLB_221116_neg_iaMSMS_01.mzML,mxaF_LCC_2uM_Nd2O3_#4,1.97E-07
KO,05-HLB_221116_neg_iaMSMS_02.mzML,mxaF_LCC_2uM_Nd2O3_#4,2.01E-07
KO,05-HLB_221116_neg_iaMSMS_03.mzML,mxaF_LCC_2uM_Nd2O3_#4,1.94E-07
