row ID,row m/z,row retention time,01-HLB_221116_pos_iaMSMS_04.mzML Peak area,02-HLB_221116_pos_iaMSMS_02.mzML Peak area,01-HLB_221116_pos_iaMSMS_03.mzML Peak area,01-HLB_221116_pos_iaMSMS_01.mzML Peak area,02-HLB_221116_pos_iaMSMS_01.mzML Peak area,01-HLB_221116_pos_iaMSMS_02.mzML Peak area,02-HLB_221116_pos_iaMSMS_04.mzML Peak area,02-HLB_221116_pos_iaMSMS_03.mzML Peak area,03-HLB_221116_pos_iaMSMS_04.mzML Peak area,04-HLB_221116_pos_iaMSMS_04.mzML Peak area,03-HLB_221116_pos_iaMSMS_03.mzML Peak area,04-HLB_221116_pos_iaMSMS_03.mzML Peak area,04-HLB_221116_pos_iaMSMS_02.mzML Peak area,04-HLB_221116_pos_iaMSMS_01.mzML Peak area,03-HLB_221116_pos_iaMSMS_01.mzML Peak area,03-HLB_221116_pos_iaMSMS_02.mzML Peak area,06-HLB_221116_pos_iaMSMS_04.mzML Peak area,05-HLB_221116_pos_iaMSMS_04.mzML Peak area,06-HLB_221116_pos_iaMSMS_03.mzML Peak area,05-HLB_221116_pos_iaMSMS_03.mzML Peak area,07-HLB_221116_pos_iaMSMS_04.mzML Peak area,05-HLB_221116_pos_iaMSMS_02.mzML Peak area,05-HLB_221116_pos_iaMSMS_01.mzML Peak area,07-HLB_221116_pos_iaMSMS_03.mzML Peak area,06-HLB_221116_pos_iaMSMS_01.mzML Peak area,06-HLB_221116_pos_iaMSMS_02.mzML Peak area,08-HLB_221116_pos_iaMSMS_03.mzML Peak area,09-HLB_221116_pos_iaMSMS_03.mzML Peak area,09-HLB_221116_pos_iaMSMS_04.mzML Peak area,08-HLB_221116_pos_iaMSMS_04.mzML Peak area,08-HLB_221116_pos_iaMSMS_01.mzML Peak area,07-HLB_221116_pos_iaMSMS_02.mzML Peak area,07-HLB_221116_pos_iaMSMS_01.mzML Peak area,08-HLB_221116_pos_iaMSMS_02.mzML Peak area,10-HLB_221116_pos_iaMSMS_04.mzML Peak area,10-HLB_221116_pos_iaMSMS_03.mzML Peak area,09-HLB_221116_pos_iaMSMS_01.mzML Peak area,09-HLB_221116_pos_iaMSMS_02.mzML Peak area,11-HLB_221116_pos_iaMSMS_04.mzML Peak area,11-HLB_221116_pos_iaMSMS_03.mzML Peak area,11-HLB_221116_pos_iaMSMS_02.mzML Peak area,11-HLB_221116_pos_iaMSMS_01.mzML Peak area,12-HLB_221116_pos_iaMSMS_03.mzML Peak area,12-HLB_221116_pos_iaMSMS_04.mzML Peak area,10-HLB_221116_pos_iaMSMS_01.mzML Peak area,13-HLB_221116_pos_iaMSMS_03.mzML Peak area,13-HLB_221116_pos_iaMSMS_04.mzML Peak area,14-HLB_221116_pos_iaMSMS_04.mzML Peak area,10-HLB_221116_pos_iaMSMS_02.mzML Peak area,14-HLB_221116_pos_iaMSMS_03.mzML Peak area,12-HLB_221116_pos_iaMSMS_01.mzML Peak area,15-HLB_221116_pos_iaMSMS_03.mzML Peak area,13-HLB_221116_pos_iaMSMS_01.mzML Peak area,12-HLB_221116_pos_iaMSMS_02.mzML Peak area,13-HLB_221116_pos_iaMSMS_02.mzML Peak area,15-HLB_221116_pos_iaMSMS_04.mzML Peak area,15-HLB_221116_pos_iaMSMS_01.mzML Peak area,16-HLB_221116_pos_iaMSMS_04.mzML Peak area,15-HLB_221116_pos_iaMSMS_02.mzML Peak area,16-HLB_221116_pos_iaMSMS_03.mzML Peak area,14-HLB_221116_pos_iaMSMS_01.mzML Peak area,17-HLB_221116_pos_iaMSMS_03.mzML Peak area,14-HLB_221116_pos_iaMSMS_02.mzML Peak area,17-HLB_221116_pos_iaMSMS_04.mzML Peak area,16-HLB_221116_pos_iaMSMS_02.mzML Peak area,18-HLB_221116_pos_iaMSMS_04.mzML Peak area,17-HLB_221116_pos_iaMSMS_02.mzML Peak area,18-HLB_221116_pos_iaMSMS_03.mzML Peak area,16-HLB_221116_pos_iaMSMS_01.mzML Peak area,17-HLB_221116_pos_iaMSMS_01.mzML Peak area,18-HLB_221116_pos_iaMSMS_02.mzML Peak area,18-HLB_221116_pos_iaMSMS_01.mzML Peak area,19-HLB_221116_pos_iaMSMS_04.mzML Peak area,20-HLB_221116_pos_iaMSMS_04.mzML Peak area,19-HLB_221116_pos_iaMSMS_03.mzML Peak area,20-HLB_221116_pos_iaMSMS_01.mzML Peak area,20-HLB_221116_pos_iaMSMS_02.mzML Peak area,20-HLB_221116_pos_iaMSMS_03.mzML Peak area,19-HLB_221116_pos_iaMSMS_01.mzML Peak area,19-HLB_221116_pos_iaMSMS_02.mzML Peak area
216,100.0758473,4.9897323,34.455788,72.992584,43.16966,51.733162,0,63.405457,57.35591,85.9401,0,59.316467,49.45396,87.04277,0,48.005375,27.299488,0,81.73128,0,0,0,0,58.86142,70.010826,56.11911,0,18.462248,98.04735,71.87427,92.05168,103.6064,0,72.7725,59.31524,87.044205,0,0,100.86759,0,258.9433,237.01755,234.97057,202.51265,52.976204,66.89996,0,0,105.93043,0,80.05468,49.54734,56.535732,0,78.849915,77.37309,73.26431,0,101.34334,193.13904,0,194.62955,19.956457,466.6927,95.92007,397.49933,217.12617,1660.1283,406.87646,1714.1316,245.32838,363.66287,1706.3062,1676.3599,0,0,94.0726,265.15576,227.90942,0,0,112.59187
130,100.0764276,4.1691966,0,161.25354,90.52088,0,150.12338,131.2062,117.89604,117.284744,0,150.87204,162.6449,148.23273,0,142.169,165.3586,101.112976,185.0333,146.73001,267.64084,155.7319,2330.5347,93.68059,0,2623.8367,0,259.6589,250.2512,0,0,0,229.7862,2137.9863,2148.3008,0,352.4652,0,215.47246,258.0078,0,236.8346,0,291.54193,3069.256,2997.4536,0,248.61765,404.00433,2954.172,223.99489,2327.9685,2505.1655,31.576855,366.49646,2993.8105,233.34146,7.826871,28.791943,318.3354,49.1341,270.8269,3109.6714,420.03522,2841.518,336.2923,375.13974,2113.4048,0,2061.9414,259.66055,381.32367,405.03345,495.19916,1989.4037,1983.6931,2551.9417,2074.8296,2686.9304,2526.7314,2392.82,2668.7156
95,100.1112504,3.5796561,0,164.13211,133.85846,0,0,125.765015,138.37154,144.39186,131.779,0,103.35535,152.8793,234.47609,247.29602,97.35865,85.44349,147.68391,87.71326,199.32053,167.23894,515.9035,152.31552,119.21735,1234.1636,188.2703,161.05862,223.85,141.65605,0,0,206.69568,559.4758,1044.855,0,0,347.68295,107.44383,95.72536,1319.5417,1312.9231,1461.3048,1183.2516,385.15936,270.7721,425.15924,182.76239,160.08855,310.26727,0,364.24652,354.5102,70.91197,0,379.86432,179.55664,0,124.9322,0,88.272514,316.95615,391.8333,317.0595,358.4154,0,298.25366,374.1944,359.04724,417.2209,203.85492,263.32217,358.18484,348.8013,0,202.962,0,272.91956,311.51767,0,212.44165,201.11697
23,100.1121242,2.4006748,131.66745,0,167.10469,250.99759,0,0,238.16557,0,0,0,0,165.60284,0,104.070175,0,123.90639,0,0,0,0,0,71.842834,0,0,141.71884,0,142.84128,129.13074,91.340836,142.85356,125.78201,1863.7246,1956.0763,189.95343,0,0,163.73354,148.20001,1850.6259,1803.6858,1910.1746,1776.4117,0,0,510.222,0,0,0,0,0,285.30566,174.67801,280.44788,0,258.5137,0,163.67395,0,164.11179,248.74155,219.70874,204.81006,0,0,171.44785,0,0,0,0,0,0,354.461,223.68753,0,205.32175,0,0,0,0,0
9726,104.1078696,18.233683,96.021805,27.363255,97.83621,102.80015,85.888176,43.332485,98.98361,24.52834,0,0,63.257515,0,12.315084,50.27167,34.089462,30.069994,194.98065,284.70966,190.61642,445.69104,216.41281,293.2927,319.6955,189.79428,228.12585,163.4309,313.41284,120.533295,132.69173,297.73975,338.38345,162.21603,203.74048,395.8573,82.583664,35.960426,158.07591,141.27493,511.9215,313.34122,366.6598,390.89413,208.9997,184.12628,70.823044,49.125286,43.07727,118.28265,33.6348,124.22604,220.07657,0,62.866676,222.15788,58.94784,0,6.379898,410.0962,2.9982395,420.17075,86.61273,533.4495,137.26978,656.25586,432.7693,325.1114,630.46875,398.77362,447.26544,593.1206,361.20953,326.73676,172.48715,1270.6744,115.57059,1203.6643,1146.0665,1089.3796,104.79954,180.74472
3273,105.0557716,9.090675,682.89636,729.94293,553.95544,637.2825,840.01355,688.44,711.3876,730.49896,1148.3945,944.98254,1256.6167,982.60297,1140.3772,1082.1106,1211.5671,1199.6774,610.836,1471.4729,1264.8052,1568.5195,1636.3617,1725.1392,1612.4065,1867.4012,1310.171,498.4514,1260.072,1097.688,1122.3281,1412.2128,1325.8411,1871.5732,1740.8745,1345.7906,1983.4485,1742.1715,1148.9436,1152.0209,2022.2693,1903.2339,1884.0491,2074.1606,2990.478,2948.8428,1573.2407,1416.1802,1598.4143,2211.8428,1715.7593,2208.548,3196.8823,0,1469.1979,3050.8271,1617.415,0,0,3738.9536,0,3553.4275,2427.9744,2563.9902,2418.521,2411.5146,3995.4775,3431.8582,2444.7485,3666.2427,3687.0579,2648.2852,3971.039,3889.8423,2270.893,2749.8018,2217.9436,3289.7556,2912.7612,2873.556,2103.7312,2182.0713
10668,107.0831301,19.78526,1520.6489,735.02966,1613.5667,1495.4985,658.5501,1623.9315,640.05286,687.3291,0,400.6444,92.67973,607.91626,563.5871,499.0387,113.57879,127.981094,270.19263,227.71497,289.4046,242.9319,362.57654,240.30435,222.33382,474.0976,267.82642,287.5741,48.80715,1243.6295,1363.1868,0,0,547.08185,554.8217,0,1832.4481,1891.3057,1372.593,1276.9962,285.72137,303.10306,324.28076,271.08746,141.01027,97.43091,1946.2112,750.32166,677.1111,1498.4637,1869.5726,1441.3707,185.11096,241.25763,882.4061,177.04996,879.48517,209.72417,196.60106,922.1675,237.4682,1020.19653,1548.4438,371.72873,1703.362,399.42584,973.9704,270.28235,400.93546,285.28625,1061.8264,402.21774,310.83154,336.45953,48.57074,0,0,0,0,0,0,74.71763
5395,107.0836213,11.3249235,0,11.078055,38.90404,0,18.402866,12.181725,0,8.592928,0,26.758667,44.98796,32.48149,0,48.603905,0,0,203.60376,942.80505,257.75674,560.34863,592.7639,709.3386,624.90015,635.57214,281.8769,202.67079,184.19711,67.354706,0,105.38592,127.98694,484.36826,684.7078,142.99265,201.65018,191.79349,45.088814,54.245003,0,0,10.500786,4.902247,507.4177,517.8164,183.06157,0,0,28.887661,205.45909,84.07422,454.4679,0,17.25116,526.074,21.844677,0,0,19.989353,5.0363717,0,75.56032,0,97.813896,18.717407,0,0,8.738383,8.8680935,0,21.057764,0,4.7839375,0,0,0,13.244423,8.236855,0,77.10243,27.39185
1779,107.0843766,7.821924,0,108.52368,127.149574,246.17105,97.63121,254.22598,0,81.12115,282.1213,239.17981,361.24173,235.51732,253.33716,272.63385,278.1534,310.68347,251.38507,430.447,376.0213,397.5714,507.17075,352.09726,335.18127,507.23895,332.42026,346.35297,350.85977,292.39716,288.3507,257.72797,368.58167,521.7993,542.7738,341.90173,659.8656,601.0242,284.39093,280.2824,0,0,0,0,680.9777,610.82697,758.6499,167.89755,230.98758,267.02344,734.962,402.85535,626.01764,0,219.468,605.40906,199.97186,0,14.755569,0,21.953026,0,416.54968,0,316.72748,0,0,0,0,0,0,43.64467,52.789932,0,426.3383,0,391.55618,12.95364,0,0,414.2692,465.34274
3319,107.0844101,9.095196,635.5615,416.084,578.3984,678.1262,422.20486,631.3937,326.55496,405.53976,905.8915,2309.3142,948.42303,2336.6914,1961.2949,2391.728,1226.8093,976.1043,2378.3774,1527.552,2612.595,1494.6559,2624.4043,1827.2009,1709.8999,2712.2727,2883.8296,2094.5535,2879.9836,1547.5312,2065.0144,3069.467,2465.761,2780.6643,2786.6265,2344.2815,1861.9773,1811.4442,2283.3794,2421.3457,0,0,0,0,1414.4148,1497.4944,1786.0181,336.5281,338.7206,778.86884,1561.2473,959.35645,1582.7266,0,320.75424,1457.852,264.43973,0,0,0,0,0,947.8783,0,902.1868,0,0,0,0,0,0,0,0,0,1667.6868,0,1219.4127,0,0,0,1128.5706,1221.2222
