"","01-HLB_221116_pos_iaMSMS_01.mzML","01-HLB_221116_pos_iaMSMS_02.mzML","01-HLB_221116_pos_iaMSMS_03.mzML","01-HLB_221116_pos_iaMSMS_04.mzML","02-HLB_221116_pos_iaMSMS_01.mzML","02-HLB_221116_pos_iaMSMS_02.mzML","02-HLB_221116_pos_iaMSMS_03.mzML","02-HLB_221116_pos_iaMSMS_04.mzML","03-HLB_221116_pos_iaMSMS_01.mzML","03-HLB_221116_pos_iaMSMS_02.mzML","03-HLB_221116_pos_iaMSMS_03.mzML","03-HLB_221116_pos_iaMSMS_04.mzML","04-HLB_221116_pos_iaMSMS_01.mzML","04-HLB_221116_pos_iaMSMS_02.mzML","04-HLB_221116_pos_iaMSMS_03.mzML","04-HLB_221116_pos_iaMSMS_04.mzML","05-HLB_221116_pos_iaMSMS_01.mzML","05-HLB_221116_pos_iaMSMS_02.mzML","05-HLB_221116_pos_iaMSMS_03.mzML","05-HLB_221116_pos_iaMSMS_04.mzML","06-HLB_221116_pos_iaMSMS_01.mzML","06-HLB_221116_pos_iaMSMS_02.mzML","06-HLB_221116_pos_iaMSMS_03.mzML","06-HLB_221116_pos_iaMSMS_04.mzML","07-HLB_221116_pos_iaMSMS_01.mzML","07-HLB_221116_pos_iaMSMS_02.mzML","07-HLB_221116_pos_iaMSMS_03.mzML","07-HLB_221116_pos_iaMSMS_04.mzML","08-HLB_221116_pos_iaMSMS_01.mzML","08-HLB_221116_pos_iaMSMS_02.mzML","08-HLB_221116_pos_iaMSMS_03.mzML","08-HLB_221116_pos_iaMSMS_04.mzML","09-HLB_221116_pos_iaMSMS_01.mzML","09-HLB_221116_pos_iaMSMS_02.mzML","09-HLB_221116_pos_iaMSMS_03.mzML","09-HLB_221116_pos_iaMSMS_04.mzML","10-HLB_221116_pos_iaMSMS_01.mzML","10-HLB_221116_pos_iaMSMS_02.mzML","10-HLB_221116_pos_iaMSMS_03.mzML","10-HLB_221116_pos_iaMSMS_04.mzML","11-HLB_221116_pos_iaMSMS_01.mzML","11-HLB_221116_pos_iaMSMS_02.mzML","11-HLB_221116_pos_iaMSMS_03.mzML","11-HLB_221116_pos_iaMSMS_04.mzML","12-HLB_221116_pos_iaMSMS_01.mzML","12-HLB_221116_pos_iaMSMS_02.mzML","12-HLB_221116_pos_iaMSMS_03.mzML","12-HLB_221116_pos_iaMSMS_04.mzML","13-HLB_221116_pos_iaMSMS_01.mzML","13-HLB_221116_pos_iaMSMS_02.mzML","13-HLB_221116_pos_iaMSMS_03.mzML","13-HLB_221116_pos_iaMSMS_04.mzML","14-HLB_221116_pos_iaMSMS_01.mzML","14-HLB_221116_pos_iaMSMS_02.mzML","14-HLB_221116_pos_iaMSMS_03.mzML","14-HLB_221116_pos_iaMSMS_04.mzML","16-HLB_221116_pos_iaMSMS_01.mzML","16-HLB_221116_pos_iaMSMS_02.mzML","16-HLB_221116_pos_iaMSMS_03.mzML","16-HLB_221116_pos_iaMSMS_04.mzML","17-HLB_221116_pos_iaMSMS_01.mzML","17-HLB_221116_pos_iaMSMS_02.mzML","17-HLB_221116_pos_iaMSMS_03.mzML","17-HLB_221116_pos_iaMSMS_04.mzML","18-HLB_221116_pos_iaMSMS_01.mzML","18-HLB_221116_pos_iaMSMS_02.mzML","18-HLB_221116_pos_iaMSMS_03.mzML","18-HLB_221116_pos_iaMSMS_04.mzML","19-HLB_221116_pos_iaMSMS_01.mzML","19-HLB_221116_pos_iaMSMS_02.mzML","19-HLB_221116_pos_iaMSMS_03.mzML","19-HLB_221116_pos_iaMSMS_04.mzML","20-HLB_221116_pos_iaMSMS_01.mzML","20-HLB_221116_pos_iaMSMS_02.mzML","20-HLB_221116_pos_iaMSMS_03.mzML","20-HLB_221116_pos_iaMSMS_04.mzML"
"216_100.076_4.99",51.733162,63.405457,43.16966,34.455788,0,72.992584,85.9401,57.35591,27.299488,0,49.45396,0,48.005375,0,87.04277,59.316467,70.010826,58.86142,0,0,0,18.462248,0,81.73128,59.31524,72.7725,56.11911,0,0,87.044205,98.04735,103.6064,100.86759,0,71.87427,92.05168,0,80.05468,0,0,202.51265,234.97057,237.01755,258.9433,56.535732,77.37309,52.976204,66.89996,78.849915,73.26431,0,105.93043,19.956457,95.92007,49.54734,0,245.32838,217.12617,194.62955,193.13904,363.66287,406.87646,466.6927,397.49933,1676.3599,1706.3062,1714.1316,1660.1283,0,112.59187,94.0726,0,265.15576,227.90942,0,0
"130_100.076_4.169",0,131.2062,90.52088,0,150.12338,161.25354,117.284744,117.89604,165.3586,101.112976,162.6449,0,142.169,0,148.23273,150.87204,0,93.68059,155.7319,146.73001,0,259.6589,267.64084,185.0333,2148.3008,2137.9863,2623.8367,2330.5347,229.7862,0,250.2512,0,215.47246,258.0078,0,0,0,223.99489,0,352.4652,291.54193,0,236.8346,0,2505.1655,2993.8105,3069.256,2997.4536,366.49646,233.34146,248.61765,404.00433,3109.6714,2841.518,2327.9685,2954.172,259.66055,375.13974,270.8269,318.3354,381.32367,0,420.03522,336.2923,495.19916,405.03345,2061.9414,2113.4048,2392.82,2668.7156,2551.9417,1989.4037,2074.8296,2686.9304,2526.7314,1983.6931
"95_100.111_3.58",0,125.765015,133.85846,0,0,164.13211,144.39186,138.37154,97.35865,85.44349,103.35535,131.779,247.29602,234.47609,152.8793,0,119.21735,152.31552,167.23894,87.71326,188.2703,161.05862,199.32053,147.68391,1044.855,559.4758,1234.1636,515.9035,206.69568,0,223.85,0,107.44383,95.72536,141.65605,0,425.15924,0,347.68295,0,1183.2516,1461.3048,1312.9231,1319.5417,354.5102,379.86432,385.15936,270.7721,0,179.55664,182.76239,160.08855,391.8333,358.4154,364.24652,310.26727,203.85492,298.25366,316.95615,0,263.32217,359.04724,317.0595,0,348.8013,358.18484,417.2209,374.1944,212.44165,201.11697,0,0,272.91956,311.51767,0,202.962
"9726_104.108_18.234",102.80015,43.332485,97.83621,96.021805,85.888176,27.363255,24.52834,98.98361,34.089462,30.069994,63.257515,0,50.27167,12.315084,0,0,319.6955,293.2927,445.69104,284.70966,228.12585,163.4309,190.61642,194.98065,203.74048,162.21603,189.79428,216.41281,338.38345,395.8573,313.41284,297.73975,158.07591,141.27493,120.533295,132.69173,70.823044,33.6348,35.960426,82.583664,390.89413,366.6598,313.34122,511.9215,220.07657,222.15788,208.9997,184.12628,62.866676,58.94784,49.125286,43.07727,86.61273,137.26978,124.22604,118.28265,447.26544,432.7693,420.17075,410.0962,593.1206,630.46875,533.4495,656.25586,326.73676,361.20953,398.77362,325.1114,104.79954,180.74472,115.57059,172.48715,1203.6643,1146.0665,1089.3796,1270.6744
"3273_105.056_9.091",637.2825,688.44,553.95544,682.89636,840.01355,729.94293,730.49896,711.3876,1211.5671,1199.6774,1256.6167,1148.3945,1082.1106,1140.3772,982.60297,944.98254,1612.4065,1725.1392,1568.5195,1471.4729,1310.171,498.4514,1264.8052,610.836,1740.8745,1871.5732,1867.4012,1636.3617,1325.8411,1345.7906,1260.072,1412.2128,1148.9436,1152.0209,1097.688,1122.3281,1573.2407,1715.7593,1742.1715,1983.4485,2074.1606,1884.0491,1903.2339,2022.2693,3196.8823,3050.8271,2990.478,2948.8428,1469.1979,1617.415,1416.1802,1598.4143,2427.9744,2418.521,2208.548,2211.8428,3687.0579,3995.4775,3553.4275,3738.9536,2648.2852,2444.7485,2563.9902,2411.5146,3889.8423,3971.039,3666.2427,3431.8582,2103.7312,2182.0713,2217.9436,2270.893,3289.7556,2912.7612,2873.556,2749.8018
"5395_107.084_11.325",0,12.181725,38.90404,0,18.402866,11.078055,8.592928,0,0,0,44.98796,0,48.603905,0,32.48149,26.758667,624.90015,709.3386,560.34863,942.80505,281.8769,202.67079,257.75674,203.60376,684.7078,484.36826,635.57214,592.7639,127.98694,142.99265,184.19711,105.38592,45.088814,54.245003,67.354706,0,183.06157,205.45909,191.79349,201.65018,4.902247,10.500786,0,0,454.4679,526.074,507.4177,517.8164,17.25116,21.844677,0,0,75.56032,97.813896,84.07422,28.887661,0,0,0,19.989353,21.057764,8.738383,0,18.717407,4.7839375,0,8.8680935,0,77.10243,27.39185,0,0,13.244423,8.236855,0,0
"1779_107.084_7.822",246.17105,254.22598,127.149574,0,97.63121,108.52368,81.12115,0,278.1534,310.68347,361.24173,282.1213,272.63385,253.33716,235.51732,239.17981,335.18127,352.09726,397.5714,430.447,332.42026,346.35297,376.0213,251.38507,542.7738,521.7993,507.23895,507.17075,368.58167,341.90173,350.85977,257.72797,284.39093,280.2824,292.39716,288.3507,758.6499,734.962,601.0242,659.8656,0,0,0,0,626.01764,605.40906,680.9777,610.82697,219.468,199.97186,167.89755,230.98758,416.54968,316.72748,402.85535,267.02344,0,0,0,0,43.64467,0,0,0,0,52.789932,0,0,414.2692,465.34274,391.55618,426.3383,12.95364,0,0,0
"3319_107.084_9.095",678.1262,631.3937,578.3984,635.5615,422.20486,416.084,405.53976,326.55496,1226.8093,976.1043,948.42303,905.8915,2391.728,1961.2949,2336.6914,2309.3142,1709.8999,1827.2009,1494.6559,1527.552,2883.8296,2094.5535,2612.595,2378.3774,2786.6265,2780.6643,2712.2727,2624.4043,2465.761,2344.2815,2879.9836,3069.467,2283.3794,2421.3457,1547.5312,2065.0144,1786.0181,1561.2473,1811.4442,1861.9773,0,0,0,0,1582.7266,1457.852,1414.4148,1497.4944,320.75424,264.43973,336.5281,338.7206,947.8783,902.1868,959.35645,778.86884,0,0,0,0,0,0,0,0,0,0,0,0,1128.5706,1221.2222,1219.4127,1667.6868,0,0,0,0
"1463_107.084_7.45",136.09105,117.41352,143.97275,97.145706,73.18942,52.971714,0,37.272022,200.05626,181.47408,184.33029,193.42969,301.31738,567.05304,233.20825,235.73639,320.231,722.72845,679.9963,279.31284,373.8333,393.58023,385.5232,0,1196.2163,1170.9226,1098.48,1167.5399,791.62305,766.12024,778.9192,299.2521,577.5247,589.0101,256.17014,296.69315,438.21582,911.9227,1019.67175,338.2589,0,11.812017,0,27.527021,637.3637,1327.7946,510.2307,1255.9857,133.31688,122.90502,120.410645,0,345.9269,0,350.55295,406.78455,0,3.2476473,0,0,0,0,0,0,0,0,0,0,762.89484,403.52994,381.7361,389.6181,0,0,10.862935,11.980898
"5607_107.085_11.761",138.73996,130.44908,103.02911,110.62338,113.89338,83.334045,111.86453,119.73007,235.54868,281.50766,277.54584,233.19263,253.77156,272.41132,174.70374,217.2089,454.0258,590.14575,517.9666,511.56973,762.85016,743.0331,793.39154,668.17645,728.2326,820.6996,848.79407,843.48584,400.01953,453.13397,473.31555,572.22095,341.27356,319.97137,246.87714,406.66034,477.46466,503.4433,437.20422,497.52396,0,0,0,0,812.4972,657.85645,703.74445,760.16876,96.7702,176.78809,105.92161,208.30707,293.0543,370.26395,311.1236,306.3062,10.742792,0,0,0,0,0,0,0,0,0,0,0,309.88617,351.5663,320.7375,396.8999,0,15.8097515,0,0
