"","filename","samplename","ATTRIBUTE_shorthand"
"1","01-HLB_221116_pos_iaMSMS_01.mzML","mxaF_LCC_2uM_Nd2O3_#1","KO"
"2","01-HLB_221116_pos_iaMSMS_02.mzML","mxaF_LCC_2uM_Nd2O3_#1","KO"
"3","01-HLB_221116_pos_iaMSMS_03.mzML","mxaF_LCC_2uM_Nd2O3_#1","KO"
"4","01-HLB_221116_pos_iaMSMS_04.mzML","mxaF_LCC_2uM_Nd2O3_#1","KO"
"5","02-HLB_221116_pos_iaMSMS_01.mzML","mxaF_50nM_Nd2O3_#1","WT_limited"
"6","02-HLB_221116_pos_iaMSMS_02.mzML","mxaF_50nM_Nd2O3_#1","WT_limited"
"7","02-HLB_221116_pos_iaMSMS_03.mzML","mxaF_50nM_Nd2O3_#1","WT_limited"
"8","02-HLB_221116_pos_iaMSMS_04.mzML","mxaF_50nM_Nd2O3_#1","WT_limited"
"9","03-HLB_221116_pos_iaMSMS_01.mzML","mxaF_LCC_2uM_Nd2O3_#2","KO"
"10","03-HLB_221116_pos_iaMSMS_02.mzML","mxaF_LCC_2uM_Nd2O3_#2","KO"
"11","03-HLB_221116_pos_iaMSMS_03.mzML","mxaF_LCC_2uM_Nd2O3_#2","KO"
"12","03-HLB_221116_pos_iaMSMS_04.mzML","mxaF_LCC_2uM_Nd2O3_#2","KO"
"13","04-HLB_221116_pos_iaMSMS_01.mzML","mxaF_2uM_Nd2O3_#1","WT"
"14","04-HLB_221116_pos_iaMSMS_02.mzML","mxaF_2uM_Nd2O3_#1","WT"
"15","04-HLB_221116_pos_iaMSMS_03.mzML","mxaF_2uM_Nd2O3_#1","WT"
"16","04-HLB_221116_pos_iaMSMS_04.mzML","mxaF_2uM_Nd2O3_#1","WT"
"17","05-HLB_221116_pos_iaMSMS_01.mzML","mxaF_LCC_2uM_Nd2O3_#4","KO"
"18","05-HLB_221116_pos_iaMSMS_02.mzML","mxaF_LCC_2uM_Nd2O3_#4","KO"
"19","05-HLB_221116_pos_iaMSMS_03.mzML","mxaF_LCC_2uM_Nd2O3_#4","KO"
"20","05-HLB_221116_pos_iaMSMS_04.mzML","mxaF_LCC_2uM_Nd2O3_#4","KO"
"21","06-HLB_221116_pos_iaMSMS_01.mzML","mxaF_2uM_Nd2O3_#4","WT"
"22","06-HLB_221116_pos_iaMSMS_02.mzML","mxaF_2uM_Nd2O3_#4","WT"
"23","06-HLB_221116_pos_iaMSMS_03.mzML","mxaF_2uM_Nd2O3_#4","WT"
"24","06-HLB_221116_pos_iaMSMS_04.mzML","mxaF_2uM_Nd2O3_#4","WT"
"25","07-HLB_221116_pos_iaMSMS_01.mzML","mxaF_2uM_Nd2O3_#2","WT"
"26","07-HLB_221116_pos_iaMSMS_02.mzML","mxaF_2uM_Nd2O3_#2","WT"
"27","07-HLB_221116_pos_iaMSMS_03.mzML","mxaF_2uM_Nd2O3_#2","WT"
"28","07-HLB_221116_pos_iaMSMS_04.mzML","mxaF_2uM_Nd2O3_#2","WT"
"29","08-HLB_221116_pos_iaMSMS_01.mzML","mxaF_2uM_Nd2O3_#5","WT"
"30","08-HLB_221116_pos_iaMSMS_02.mzML","mxaF_2uM_Nd2O3_#5","WT"
"31","08-HLB_221116_pos_iaMSMS_03.mzML","mxaF_2uM_Nd2O3_#5","WT"
"32","08-HLB_221116_pos_iaMSMS_04.mzML","mxaF_2uM_Nd2O3_#5","WT"
"33","09-HLB_221116_pos_iaMSMS_01.mzML","mxaF_2uM_Nd2O3_#3","WT"
"34","09-HLB_221116_pos_iaMSMS_02.mzML","mxaF_2uM_Nd2O3_#3","WT"
"35","09-HLB_221116_pos_iaMSMS_03.mzML","mxaF_2uM_Nd2O3_#3","WT"
"36","09-HLB_221116_pos_iaMSMS_04.mzML","mxaF_2uM_Nd2O3_#3","WT"
"37","10-HLB_221116_pos_iaMSMS_01.mzML","mxaF_LCC_2uM_Nd2O3_#5","KO"
"38","10-HLB_221116_pos_iaMSMS_02.mzML","mxaF_LCC_2uM_Nd2O3_#5","KO"
"39","10-HLB_221116_pos_iaMSMS_03.mzML","mxaF_LCC_2uM_Nd2O3_#5","KO"
"40","10-HLB_221116_pos_iaMSMS_04.mzML","mxaF_LCC_2uM_Nd2O3_#5","KO"
"41","11-HLB_221116_pos_iaMSMS_01.mzML","A7_2uM_Nd2O3_#4","overexpression"
"42","11-HLB_221116_pos_iaMSMS_02.mzML","A7_2uM_Nd2O3_#4","overexpression"
"43","11-HLB_221116_pos_iaMSMS_03.mzML","A7_2uM_Nd2O3_#4","overexpression"
"44","11-HLB_221116_pos_iaMSMS_04.mzML","A7_2uM_Nd2O3_#4","overexpression"
"45","12-HLB_221116_pos_iaMSMS_01.mzML","mxaF_LCC_2uM_Nd2O3_#3","KO"
"46","12-HLB_221116_pos_iaMSMS_02.mzML","mxaF_LCC_2uM_Nd2O3_#3","KO"
"47","12-HLB_221116_pos_iaMSMS_03.mzML","mxaF_LCC_2uM_Nd2O3_#3","KO"
