group,filename,sample_id,norm_peak_area
KO,01-HLB_221116_pos_iaMSMS_01.mzML,mxaF_LCC_2uM_Nd2O3_#1,2.18E-07
KO,01-HLB_221116_pos_iaMSMS_02.mzML,mxaF_LCC_2uM_Nd2O3_#1,1.32E-06
KO,01-HLB_221116_pos_iaMSMS_03.mzML,mxaF_LCC_2uM_Nd2O3_#1,2.27E-07
KO,01-HLB_221116_pos_iaMSMS_04.mzML,mxaF_LCC_2uM_Nd2O3_#1,2.22E-07
WT_limited,02-HLB_221116_pos_iaMSMS_01.mzML,mxaF_50nM_Nd2O3_#1,2.92E-05
WT_limited,02-HLB_221116_pos_iaMSMS_02.mzML,mxaF_50nM_Nd2O3_#1,3.16E-05
WT_limited,02-HLB_221116_pos_iaMSMS_03.mzML,mxaF_50nM_Nd2O3_#1,1.93E-05
WT_limited,02-HLB_221116_pos_iaMSMS_04.mzML,mxaF_50nM_Nd2O3_#1,1.81E-05
KO,03-HLB_221116_pos_iaMSMS_01.mzML,mxaF_LCC_2uM_Nd2O3_#2,1.90E-07
KO,03-HLB_221116_pos_iaMSMS_02.mzML,mxaF_LCC_2uM_Nd2O3_#2,1.14E-06
KO,03-HLB_221116_pos_iaMSMS_03.mzML,mxaF_LCC_2uM_Nd2O3_#2,1.97E-06
KO,03-HLB_221116_pos_iaMSMS_04.mzML,mxaF_LCC_2uM_Nd2O3_#2,2.00E-07
WT,04-HLB_221116_pos_iaMSMS_01.mzML,mxaF_2uM_Nd2O3_#1,1.61E-05
WT,04-HLB_221116_pos_iaMSMS_02.mzML,mxaF_2uM_Nd2O3_#1,1.30E-05
WT,04-HLB_221116_pos_iaMSMS_03.mzML,mxaF_2uM_Nd2O3_#1,1.37E-05
WT,04-HLB_221116_pos_iaMSMS_04.mzML,mxaF_2uM_Nd2O3_#1,1.24E-05
KO,05-HLB_221116_pos_iaMSMS_01.mzML,mxaF_LCC_2uM_Nd2O3_#4,1.13E-06
KO,05-HLB_221116_pos_iaMSMS_02.mzML,mxaF_LCC_2uM_Nd2O3_#4,1.30E-07
KO,05-HLB_221116_pos_iaMSMS_03.mzML,mxaF_LCC_2uM_Nd2O3_#4,1.26E-07
KO,05-HLB_221116_pos_iaMSMS_04.mzML,mxaF_LCC_2uM_Nd2O3_#4,1.30E-07
WT,06-HLB_221116_pos_iaMSMS_01.mzML,mxaF_2uM_Nd2O3_#4,1.46E-05
WT,06-HLB_221116_pos_iaMSMS_02.mzML,mxaF_2uM_Nd2O3_#4,1.30E-05
WT,06-HLB_221116_pos_iaMSMS_03.mzML,mxaF_2uM_Nd2O3_#4,1.03E-05
WT,06-HLB_221116_pos_iaMSMS_04.mzML,mxaF_2uM_Nd2O3_#4,1.17E-05
WT,07-HLB_221116_pos_iaMSMS_01.mzML,mxaF_2uM_Nd2O3_#2,1.07E-05
WT,07-HLB_221116_pos_iaMSMS_02.mzML,mxaF_2uM_Nd2O3_#2,1.29E-05
WT,07-HLB_221116_pos_iaMSMS_03.mzML,mxaF_2uM_Nd2O3_#2,1.42E-05
WT,07-HLB_221116_pos_iaMSMS_04.mzML,mxaF_2uM_Nd2O3_#2,1.35E-05
WT,08-HLB_221116_pos_iaMSMS_01.mzML,mxaF_2uM_Nd2O3_#5,1.77E-05
WT,08-HLB_221116_pos_iaMSMS_02.mzML,mxaF_2uM_Nd2O3_#5,2.06E-05
WT,08-HLB_221116_pos_iaMSMS_03.mzML,mxaF_2uM_Nd2O3_#5,1.95E-05
WT,08-HLB_221116_pos_iaMSMS_04.mzML,mxaF_2uM_Nd2O3_#5,1.88E-05
WT,09-HLB_221116_pos_iaMSMS_01.mzML,mxaF_2uM_Nd2O3_#3,1.83E-05
WT,09-HLB_221116_pos_iaMSMS_02.mzML,mxaF_2uM_Nd2O3_#3,1.60E-05
WT,09-HLB_221116_pos_iaMSMS_03.mzML,mxaF_2uM_Nd2O3_#3,1.40E-05
WT,09-HLB_221116_pos_iaMSMS_04.mzML,mxaF_2uM_Nd2O3_#3,1.48E-05
KO,10-HLB_221116_pos_iaMSMS_01.mzML,mxaF_LCC_2uM_Nd2O3_#5,1.06E-07
KO,10-HLB_221116_pos_iaMSMS_02.mzML,mxaF_LCC_2uM_Nd2O3_#5,1.10E-07
KO,10-HLB_221116_pos_iaMSMS_03.mzML,mxaF_LCC_2uM_Nd2O3_#5,1.08E-07
KO,10-HLB_221116_pos_iaMSMS_04.mzML,mxaF_LCC_2uM_Nd2O3_#5,1.10E-07
A7,11-HLB_221116_pos_iaMSMS_01.mzML,A7_2uM_Nd2O3_#4,6.97E-04
A7,11-HLB_221116_pos_iaMSMS_02.mzML,A7_2uM_Nd2O3_#4,7.85E-04
A7,11-HLB_221116_pos_iaMSMS_03.mzML,A7_2uM_Nd2O3_#4,7.74E-04
A7,11-HLB_221116_pos_iaMSMS_04.mzML,A7_2uM_Nd2O3_#4,7.62E-04
KO,12-HLB_221116_pos_iaMSMS_01.mzML,mxaF_LCC_2uM_Nd2O3_#3,6.09E-07
KO,12-HLB_221116_pos_iaMSMS_02.mzML,mxaF_LCC_2uM_Nd2O3_#3,4.33E-07
KO,12-HLB_221116_pos_iaMSMS_03.mzML,mxaF_LCC_2uM_Nd2O3_#3,8.77E-08
KO,12-HLB_221116_pos_iaMSMS_04.mzML,mxaF_LCC_2uM_Nd2O3_#3,9.47E-07
WT_limited,13-HLB_221116_pos_iaMSMS_01.mzML,mxaF_50nM_Nd2O3_#3,1.06E-05
WT_limited,13-HLB_221116_pos_iaMSMS_02.mzML,mxaF_50nM_Nd2O3_#3,9.93E-06
WT_limited,13-HLB_221116_pos_iaMSMS_03.mzML,mxaF_50nM_Nd2O3_#3,1.18E-05
WT_limited,13-HLB_221116_pos_iaMSMS_04.mzML,mxaF_50nM_Nd2O3_#3,1.17E-05
WT_limited,14-HLB_221116_pos_iaMSMS_01.mzML,mxaF_50nM_Nd2O3_#5,1.93E-05
WT_limited,14-HLB_221116_pos_iaMSMS_02.mzML,mxaF_50nM_Nd2O3_#5,1.99E-05
WT_limited,14-HLB_221116_pos_iaMSMS_03.mzML,mxaF_50nM_Nd2O3_#5,2.77E-05
WT_limited,14-HLB_221116_pos_iaMSMS_04.mzML,mxaF_50nM_Nd2O3_#5,2.60E-05
A7,16-HLB_221116_pos_iaMSMS_01.mzML,A7_2uM_Nd2O3_#1,4.02E-04
A7,16-HLB_221116_pos_iaMSMS_02.mzML,A7_2uM_Nd2O3_#1,4.40E-04
A7,16-HLB_221116_pos_iaMSMS_03.mzML,A7_2uM_Nd2O3_#1,4.16E-04
A7,16-HLB_221116_pos_iaMSMS_04.mzML,A7_2uM_Nd2O3_#1,4.03E-04
A7,17-HLB_221116_pos_iaMSMS_01.mzML,A7_2uM_Nd2O3_#5,8.33E-04
A7,17-HLB_221116_pos_iaMSMS_02.mzML,A7_2uM_Nd2O3_#5,8.21E-04
A7,17-HLB_221116_pos_iaMSMS_03.mzML,A7_2uM_Nd2O3_#5,8.05E-04
A7,17-HLB_221116_pos_iaMSMS_04.mzML,A7_2uM_Nd2O3_#5,8.79E-04
A7,18-HLB_221116_pos_iaMSMS_01.mzML,A7_2uM_Nd2O3_#3,8.89E-04
A7,18-HLB_221116_pos_iaMSMS_02.mzML,A7_2uM_Nd2O3_#3,8.97E-04
A7,18-HLB_221116_pos_iaMSMS_03.mzML,A7_2uM_Nd2O3_#3,9.15E-04
A7,18-HLB_221116_pos_iaMSMS_04.mzML,A7_2uM_Nd2O3_#3,9.89E-04
WT_limited,19-HLB_221116_pos_iaMSMS_01.mzML,mxaF_50nM_Nd2O3_#4,1.45E-05
WT_limited,19-HLB_221116_pos_iaMSMS_02.mzML,mxaF_50nM_Nd2O3_#4,1.84E-05
WT_limited,19-HLB_221116_pos_iaMSMS_03.mzML,mxaF_50nM_Nd2O3_#4,1.42E-05
WT_limited,19-HLB_221116_pos_iaMSMS_04.mzML,mxaF_50nM_Nd2O3_#4,1.73E-05
A7,20-HLB_221116_pos_iaMSMS_01.mzML,A7_2uM_Nd2O3_#2,3.46E-04
A7,20-HLB_221116_pos_iaMSMS_02.mzML,A7_2uM_Nd2O3_#2,3.49E-04
A7,20-HLB_221116_pos_iaMSMS_03.mzML,A7_2uM_Nd2O3_#2,3.41E-04
A7,20-HLB_221116_pos_iaMSMS_04.mzML,A7_2uM_Nd2O3_#2,4.22E-04
